date,senator,ticker,amount,direction,returns_after_1d,returns_before_1d,returns_after_5d,returns_before_5d,returns_after_15d,returns_before_15d,returns_after_30d,returns_before_30d,adtv_before_1d,adtv_after_1d,adtv_before_5d,adtv_after_5d,adtv_before_15d,adtv_after_15d,adtv_before_30d,adtv_after_30d,daily_adtv
2015-01-13,Susan M. Collins,AXP,8000.5,1.0,-0.024207149431518582,-0.003016518539863622,-0.017482974352558744,0.009732119825190289,-0.06298352689799103,-0.03667883335601774,-0.06701825038201592,-0.03167570904035466,155700.0,950000.0,674187.0,1046620.0,8465514.466666667,9233779.533333333,13255186.433333334,5765976.966666667,3537600.0
2015-01-13,Susan M. Collins,CVS,8000.5,1.0,0.0009255378270121017,0.0004118204337926201,0.026881408100132065,0.03194307031347443,0.036788723138841295,0.01609206540157282,0.07507767125937481,0.06436090482177947,350900.0,13277700.0,13749520.0,7134775.6,5420360.266666667,5403263.333333333,2381448.933333333,4273773.266666667,4069500.0
2015-01-13,Susan M. Collins,MTD,32500.5,1.0,0.0018540580023249653,0.0010799382974793215,-0.0029329341686984423,0.018961320499569112,0.04668950546793815,-0.012385040899409061,0.06074699340555334,0.011525624941204349,4587270.0,45300.0,8028848.0,9233580.0,5138458.733333333,5552327.4,3344291.6,11576092.033333333,87900.0
2015-01-13,Susan M. Collins,UL,8000.5,1.0,0.007383895075879776,0.004201854869409605,0.033964928081218204,0.04099419571686025,0.07490149035836491,-0.011435618292451544,0.09225845822345047,-0.03583296129076441,278000.0,542600.0,1607871.4,2695160.0,2103560.0,2835597.6,2747141.2333333334,2550841.7,1112300.0
2015-01-13,Susan M. Collins,WCN,8000.5,1.0,-0.007276894034869641,0.003296991113439951,0.026056424787483046,-0.016620676295688752,0.0316903130352284,-0.030275513824660538,0.10867977211375512,-0.09764901198585274,5173200.0,1784200.0,6189580.0,1176352.6,2206473.8666666667,4537519.4,4999419.3,4972206.066666666,1195200.0
2015-01-14,David Perdue,AR,8000.5,1.0,-0.02548471489839066,-0.004961419824481839,-0.005263120075896577,-0.014738016498982431,0.11939062480517038,-0.1537740599333116,0.09279785125807871,-0.22714623888482455,6600.0,1606100.0,2609365.6,577720.0,4196188.866666666,2309753.1333333333,9790096.666666666,8175931.3,2749700.0
2015-01-14,David Perdue,ZTS,-8000.5,-1.0,-0.002091692166246162,0.005139098753440541,0.036340008161395154,-0.011031929336648871,0.010495462470776262,-0.008753847015565142,0.07312757362178934,-0.03020056190714626,1074084.0,0.0,8816434.6,4825331.0,6078999.933333334,18452993.666666668,2635393.1666666665,10690182.3,2481300.0
2015-01-14,Sheldon Whitehouse,AIG,-8000.5,-1.0,-0.019073482142466514,-0.0094467907979644,0.017516166200698846,-0.0569014748559733,0.0046710917913765915,-0.08462482388765169,0.07687812416715034,-0.05386224022297803,10300.0,17490233.0,2257280.0,4455026.6,17680380.0,3722135.533333333,4912732.733333333,6474792.366666666,12242700.0
2015-01-14,Sheldon Whitehouse,DD,-8000.5,-1.0,-0.002763131300386301,-0.0041273554439144045,0.044439418377684614,0.0006911816129642201,0.10062159448273089,-0.042472619763271435,0.13377806948880577,-0.08923483804006449,13115700.0,3308500.0,3070992.4,3469580.0,6965927.533333333,3179498.8666666667,1780599.7666666666,5834348.533333333,9036516.0
2015-01-14,Sheldon Whitehouse,ETN,-40501.0,-1.0,-0.0026462721037977532,-0.018637367147159245,0.0535491387233169,-0.005264831451944563,0.07752210236900337,-0.06992899397380736,0.10538621681463312,-0.04390546301351583,6719000.0,3042600.0,2666940.0,1794960.0,8492152.133333333,8547672.066666666,6026951.733333333,5433129.133333334,2394500.0
